,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000033851,320.6251709,1.499914453,0.212005455,7.074886141,1.49571515982289e-12,1.11922228673604e-09
ENSAMXG00000033889,8.768336747,2.692051113,0.792857209,3.395379497,0.000685335,0.017539674
ENSAMXG00000033912,86.09989027,5.092576371,1.264643031,4.026888416,5.65198380160533e-05,0.00291955
ENSAMXG00000034002,5.739819501,5.357176826,1.230655973,4.353106751,1.342217512208e-05,0.000921031
ENSAMXG00000034204,93.212808,1.067438617,0.188791772,5.654052634,1.56708187740864e-08,3.42015619744435e-06
ENSAMXG00000034298,47.81359918,2.003116371,0.548909969,3.649262148,0.000262995,0.008887521
ENSAMXG00000034443,180.7335058,1.24440177,0.34129026,3.646168431,0.00026618,0.008956628
ENSAMXG00000034476,31.11682162,1.809797148,0.335462899,5.39492491,6.85522152280805e-08,1.2241244432887e-05
ENSAMXG00000034559,363.8697346,1.916896805,0.334000149,5.739209424,9.51195361361657e-09,2.13840044270365e-06
ENSAMXG00000034674,13.64846619,2.744034628,0.712375548,3.851949487,0.000117181,0.004915821
ENSAMXG00000034822,1302.67668,1.030413033,0.220597351,4.67101273,2.99718362138683e-06,0.00028635
ENSAMXG00000034846,62.55352985,1.156771023,0.346190794,3.341426299,0.000833491,0.020149976
ENSAMXG00000034856,246.2426373,1.194557443,0.332875653,3.58859962,0.000332459,0.01051159
ENSAMXG00000035245,93.64618154,1.303926651,0.414979319,3.142148514,0.001677129,0.032416251
ENSAMXG00000035255,6.752140363,4.006577121,1.291825354,3.101485127,0.001925525,0.035347788
ENSAMXG00000035331,392.8869744,1.065516782,0.291408255,3.65643994,0.000255742,0.008711917
ENSAMXG00000035335,15.11629275,1.687321465,0.498476996,3.384953525,0.000711903,0.018072447
ENSAMXG00000035368,50.47276512,5.685502823,0.575071645,9.886599135,4.75921608621059e-23,7.47863215787132e-20
ENSAMXG00000035872,12.99312993,2.783016492,0.920716474,3.022663948,0.002505603,0.041620558
ENSAMXG00000035948,12.8947799,2.105901931,0.646797891,3.255888678,0.001130381,0.024629087
ENSAMXG00000036381,34.52428383,1.688861719,0.406258438,4.15711173,3.22296388426455e-05,0.001848382
ENSAMXG00000036461,115.7413679,1.058479699,0.328266366,3.224453707,0.001262133,0.02662168
ENSAMXG00000036535,5.530208074,3.645751378,1.185257747,3.075914404,0.002098581,0.037516608
ENSAMXG00000036776,20.96036871,2.576296199,0.685022865,3.760890812,0.000169309,0.006395497
ENSAMXG00000036878,5.078368992,3.628753207,1.187359695,3.056153264,0.002241966,0.039021194
ENSAMXG00000037024,9.565355663,4.819895701,1.356370732,3.553523817,0.000380107,0.011598054
ENSAMXG00000037054,56.46888579,1.289378147,0.339143874,3.801861819,0.000143613,0.00565597
ENSAMXG00000037149,231.0948614,2.218811438,0.208549708,10.63924502,1.95708667409163e-26,5.12560999944597e-23
ENSAMXG00000037284,7.10160084,3.331641448,0.816489593,4.080445701,4.4949428886053e-05,0.002435639
ENSAMXG00000037442,573.3402876,7.373940585,0.753837531,9.781869812,1.34698735620387e-22,1.92423266503524e-19
