,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000041472,264.8552932,-1.056598414,0.217421853,-4.859669799,1.17581698669993e-06,0.000134867
ENSAMXG00000041706,18.72889555,-2.083192488,0.575385863,-3.620513851,0.000294019,0.009631439
ENSAMXG00000041824,26.39251453,-1.663618538,0.487927778,-3.409558983,0.00065068,0.016900473
ENSAMXG00000042063,114.4317883,-1.464102299,0.214933631,-6.811880922,9.63308311078013e-12,6.05497072011196e-09
ENSAMXG00000042090,227.0281118,-1.512703392,0.346946349,-4.360049896,1.30032790497168e-05,0.000908149
ENSAMXG00000042439,239.7461143,-2.129005757,0.344242221,-6.18461545,6.22540387605753e-10,2.27502317461321e-07
ENSAMXG00000042771,11.14680795,-2.23456487,0.745238761,-2.998454977,0.002713522,0.043959064
ENSAMXG00000042898,40.34858441,-4.641576353,1.100307776,-4.218434564,2.4600434154236e-05,0.001529875
ENSAMXG00000043004,6.479222274,-4.497847846,1.403868394,-3.203895654,0.001355816,0.027850057
ENSAMXG00000043185,13.71121818,-3.458527283,1.053948194,-3.281496474,0.001032578,0.023461121
ENSAMXG00000043219,124.6469426,-1.812735075,0.270715649,-6.696085285,2.14076816144223e-11,1.16000106513459e-08
ENSAMXG00000043474,12.79779016,-3.371861574,0.807240806,-4.17702072,2.95352130020294e-05,0.001750121
ENSAMXG00000043849,8.409985411,-3.870343008,1.076215904,-3.596251451,0.000322836,0.010227905
ENSAMXG00000044106,19.21189271,-1.298354078,0.417849751,-3.10722712,0.001888512,0.034872015
