"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"35","ENSAMXG00000015426",11960.3280225605,-0.296861337100892,0.0819611303972036,-3.62197709648744,0.000292360011422824,0.0193176642272988,"gpm6aa"
"36","ENSAMXG00000015539",152.106564466471,-0.693250287913707,0.195893341915821,-3.53891705115538,0.000401772078914775,0.0242340065396263,"hdac10"
"37","ENSAMXG00000015613",3888.75611205592,-0.406472148332454,0.0859467631479112,-4.7293479526731,2.25242067107828e-06,0.000604966193449045,"pcdh10a"
"40","ENSAMXG00000016386",175.180707660904,-0.601425777047868,0.144884502997591,-4.15107043613814,3.30923894888435e-05,0.0041687625165813,"ERC1"
"42","ENSAMXG00000016937",1291.19533757934,-0.277784433399325,0.0714974826163468,-3.88523376256347,0.000102231472390529,0.00903891310235517,"eif3ha"
"43","ENSAMXG00000017884",1459.75680617449,-0.275533483330815,0.0784308469803783,-3.51307545358712,0.000442951667849277,0.0259482180733928,"stra6"
"44","ENSAMXG00000018745",1131.33987993837,-0.377805386403847,0.102965107470454,-3.66925646644188,0.000243256946829611,0.017227674816515,"sh3bp5b"
"45","ENSAMXG00000018993",441.499722824079,-0.516745313909923,0.158667052206634,-3.25679028332208,0.00112679650084791,0.0492022950600305,"homer3a"
"46","ENSAMXG00000020396",1107.34917107342,-0.372769651736961,0.0820814942635832,-4.54145791425178,5.58665393691935e-06,0.00108939751769927,"qkia"
"47","ENSAMXG00000020519",85.4893786129574,-0.950346266454378,0.244320801964493,-3.889747654776,0.000100348514847218,0.00902997714365164,"loxl2a"
"48","ENSAMXG00000020717",31.3069624368332,-2.67287507197135,0.610484142482058,-4.37828747050527,1.19615507955543e-05,0.00196221372583332,"pvalb4"
"49","ENSAMXG00000020747",500.136111297226,-0.405577684791213,0.105743845997015,-3.83547317545705,0.000125322784548437,0.0102527002186609,"trappc13"
"50","ENSAMXG00000021806",371.067734537634,-0.62138902949894,0.126173541907562,-4.92487585039172,8.44139309618079e-07,0.000261224414617682,"si:dkeyp-74b6.2"
"51","ENSAMXG00000024726",2021.01441145392,-0.405435394140854,0.087547842882229,-4.63101523456442,3.63877094989719e-06,0.000858534298247198,"zgc:92107"
"52","ENSAMXG00000024826",1183.28668330037,-0.515921266209074,0.141993187653676,-3.63342266438454,0.000279686302798981,0.018779879812941,"neurod2"
"53","ENSAMXG00000025117",2638.31125956244,-0.32757843307892,0.0743653809489516,-4.40498561156821,1.05790899476801e-05,0.00181284011033824,"islr2"
"54","ENSAMXG00000025163",301.581091078907,-0.606983518879651,0.175141970960984,-3.46566568566747,0.000528920518182042,0.0295429542131542,"SOX4"
"55","ENSAMXG00000025194",1419.2473956108,-0.811657712575989,0.125735408201121,-6.45528355288508,1.08016462347991e-10,1.92201792690457e-07,"h1-0"
"56","ENSAMXG00000025368",247.263187570654,-0.641122387027987,0.168322807123486,-3.80888602076154,0.000139594283422002,0.011101254885543,"sox3"
"57","ENSAMXG00000025539",735.657457877716,-0.407892873455507,0.104072718912623,-3.91930640149764,8.88041607952241e-05,0.008314737052522,"slitrk2"
"58","ENSAMXG00000026054",799.875312562454,-0.292870638594767,0.0839381262612764,-3.48912528358259,0.00048460396391011,0.0279284916042932,"unm_hu7912"
"60","ENSAMXG00000029199",198.848829943772,-0.481259513275032,0.140908645377621,-3.41540089314823,0.000636882010451702,0.0342113789387924,"cdkn1cb"
"61","ENSAMXG00000029275",346.021364219666,-0.511366907074611,0.122081039421317,-4.18874961663636,2.80495667355338e-05,0.00387655905320702,"gsg1l"
"63","ENSAMXG00000029936",1142.39386922514,-0.436140789549802,0.102119188016134,-4.27089950500677,1.94686128440652e-05,0.00293423500696716,"cbln2a"
"64","ENSAMXG00000030511",446.604130334835,-0.395766691675401,0.116792117126313,-3.38864215679361,0.00070239609446118,0.0366249392111901,"tlcd5a"
"65","ENSAMXG00000030721",827.988711159838,-0.368619054777593,0.102513620966287,-3.5958056237114,0.000323389209013468,0.0206432528713306,"ca2"
"66","ENSAMXG00000030811",361.855211255966,-0.472740051324189,0.141873001122281,-3.33213541395893,0.0008618231044074,0.0407576474792004,"slc40a1"
"67","ENSAMXG00000030913",1002.30565250542,-0.478849177889252,0.102693805214368,-4.66288279891546,3.11810349677961e-06,0.000778705320643118,"zic3"
"68","ENSAMXG00000031099",451.328851408302,-0.416140345150611,0.104988171989948,-3.96368788276886,7.38007299852218e-05,0.00739826331929319,"phkg1a"
"69","ENSAMXG00000031174",745.33295927387,-0.525233443481662,0.154333778598114,-3.40323063591524,0.000665940408745219,0.0355043510055738,"rln3b"
"70","ENSAMXG00000031264",350.172626072159,-0.396141329843138,0.117338023438831,-3.37606956580147,0.000735293251033995,0.0373817836731033,"rac3b"
"71","ENSAMXG00000031292",123.616781764928,-4.19173003855082,0.382646581007751,-10.9545733494112,6.31753629513188e-28,8.99301291612023e-24,"gria2b"
"72","ENSAMXG00000031645",2697.99571825425,-0.344204891005313,0.104847897302647,-3.28289741483087,0.00102746047932714,0.0459933959849743,"cbln12"
"73","ENSAMXG00000031674",5549.45139832676,-0.227472070119473,0.0637383557847087,-3.56884119960378,0.000358563668194708,0.0224852591046329,"sncgb"
"74","ENSAMXG00000031851",843.024495650082,-0.568275742680477,0.127744559701352,-4.44853185144654,8.64592294913888e-06,0.00157788093821785,"zic4"
"75","ENSAMXG00000032066",33.1556921491095,-4.70181255996238,1.39318814306409,-3.37485829417232,0.000738537088173402,0.0374130798937665,"elovl8b"
"76","ENSAMXG00000032275",1313.98800530961,-0.548819670973114,0.0849489970992412,-6.46057857907326,1.04303414229884e-10,1.92201792690457e-07,"ptmab"
"77","ENSAMXG00000032786",434.943564214499,-0.675073802283749,0.145799599695085,-4.6301485305553,3.65403526567854e-06,0.000858534298247198,"en1b"
"80","ENSAMXG00000033365",1131.08983408154,-0.655295892159771,0.164190241482081,-3.99107697415311,6.57739263513472e-05,0.00683424701906151,"igsf21a"
"82","ENSAMXG00000033761",6076.85854506047,-0.26137314696005,0.0681363481416837,-3.83603104787106,0.000125038607554935,0.0102527002186609,"stmn2a"
"83","ENSAMXG00000033793",1219.97400445127,-0.28199200842453,0.0814202919244497,-3.46341190579606,0.000533371214104716,0.0295429542131542,"prdx5"
"85","ENSAMXG00000034116",552.046346450407,-0.622627436867112,0.112558993248267,-5.53156543870116,3.17385413299112e-08,1.61475993627925e-05,"nebl"
"86","ENSAMXG00000034214",534.529908039629,-0.629464920720074,0.167631041965842,-3.75506179129006,0.000173298718499985,0.0129837224097226,"arhgap27"
"87","ENSAMXG00000034538",7262.52801709351,-0.50412189521089,0.127157828427723,-3.96453683932983,7.3538589914293e-05,0.00739826331929319,"marcksa"
"88","ENSAMXG00000034599",882.985130062895,-0.475771837744098,0.0964142429168508,-4.93466342057378,8.02890959349221e-07,0.000253981173474137,"PLXNA2"
"89","ENSAMXG00000035000",1056.875702155,-0.309911975075063,0.0725856769205653,-4.2696023268367,1.95821795336762e-05,0.00293423500696716,"stx6"
"90","ENSAMXG00000035039",557.139351543159,-0.392785528629114,0.0962054365545311,-4.08277892285718,4.45003524215898e-05,0.00515010176196204,"kif3ca"
"91","ENSAMXG00000035116",879.736957061698,-0.777337264668827,0.186253830908151,-4.17353705359308,2.9990685823455e-05,0.00397908161829585,"zfyve16"
"93","ENSAMXG00000035427",553.540394374376,-0.52224963992888,0.10755297044397,-4.8557435259396,1.19935854672124e-06,0.000348425896175039,"UQCR11"
"94","ENSAMXG00000035892",828.984829534305,-0.427226158241609,0.100914279565619,-4.23355505366122,2.30025838246143e-05,0.00327441780743384,"acaa2"
"95","ENSAMXG00000035979",179.537455422456,-0.65535936911186,0.159034822215982,-4.12085453978015,3.7746970197396e-05,0.00455362814203332,"cbx4"
"96","ENSAMXG00000036002",2710.73209329219,-0.259030528490996,0.0667533760911397,-3.88041090442132,0.000104280140050078,0.00916313452847446,"sypb"
