"","Gene.stable.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.name"
"42","ENSAMXG00000001742",2064.43854875964,-0.24786149829946,0.077311789891718,-3.20599870532827,0.00134594593997119,0.0116864612541494,"hspa4l"
"43","ENSAMXG00000001781",543.794634505948,-0.32397875142001,0.0972069934807702,-3.33287492822314,0.000859535724331601,0.00814156509071858,"mrps15"
"44","ENSAMXG00000001785",6.69813672515428,-4.84688040049049,1.71959170089264,-2.81862281492431,0.00482301561673993,0.0319030311399102,"txnipb"
"46","ENSAMXG00000001829",430.413975308933,-0.602291809973156,0.114434945062235,-5.26318083733603,1.41584191239092e-07,4.83721956830097e-06,"bcl2b"
"47","ENSAMXG00000001839",127.212654462011,-0.623785891763692,0.213629157166592,-2.9199473519303,0.00350090524420005,0.0251510430284608,"PTGR3"
"48","ENSAMXG00000001870",2041.72156599012,-0.32976828647892,0.0878497962619953,-3.75377406107407,0.000174191886125708,0.00223570687816278,"mark3a"
"49","ENSAMXG00000001895",5197.36604909106,-0.190614475054551,0.0686404781402744,-2.77699806614123,0.00548635054017012,0.0350737539296318,"EIF5"
"51","ENSAMXG00000001926",416.578046890917,-0.3437458463389,0.110144648380141,-3.12085835666328,0.00180324746129882,0.0148281745898469,"ahsa1b"
"52","ENSAMXG00000001955",316.518426087776,-0.548698922780763,0.128352339624481,-4.2749428984784,1.91186288329294e-05,0.000352047199420846,"mrpl19"
"53","ENSAMXG00000001966",88.4217430061315,-8.6329919687325,1.20172270212375,-7.18384695027882,6.77767346428582e-13,6.84912484116835e-11,"aifm2"
"54","ENSAMXG00000002029",431.568793181459,-0.417486619934836,0.128006445738072,-3.26144998033226,0.00110843986673666,0.00996467243542736,"dcaf8"
"55","ENSAMXG00000002041",402.086978106236,-0.571085810291049,0.141914614601714,-4.02415080288814,5.71812693343849e-05,0.000889810568723847,"tdg.2"
"56","ENSAMXG00000002082",141.655841088903,-0.547490590791462,0.203763644378802,-2.68689045320402,0.00721206014486699,0.043419994503434,"sulf1"
"57","ENSAMXG00000002100",790.474681339652,-0.293563772239114,0.0914948575336598,-3.20852756266783,0.00133416520518781,0.0115961768481997,"ddx1"
"58","ENSAMXG00000002117",281.751965039479,-0.551925782243812,0.164979902858033,-3.34541221495779,0.000821603627083617,0.00785321985431776,"atl2"
"59","ENSAMXG00000002118",418.389479680688,-0.439226559633888,0.109736593169609,-4.00255326821582,6.26625534817284e-05,0.000956516000338304,"ro60"
"61","ENSAMXG00000002185",1335.31835282307,-0.534545331958622,0.14351629112714,-3.72463173177373,0.000195600552704286,0.00245598747875329,"tmem198b"
"62","ENSAMXG00000002204",501.935193776659,-0.837939733914756,0.250018195626951,-3.35151500399209,0.000803706836722185,0.00770850896856184,"hspe1"
"63","ENSAMXG00000002241",232.218829417414,-0.655432883989717,0.164738210565345,-3.97863301865678,6.93126292865032e-05,0.0010399994242228,"CNNM1"
"64","ENSAMXG00000002242",680.79711439031,-0.419595034580351,0.0918282258284373,-4.56934706943244,4.89246011757991e-06,0.000106182471093274,"naa15a"
"66","ENSAMXG00000002320",2472.12513554737,-0.325041082424008,0.0895428222327603,-3.63000712194537,0.000283413399772291,0.00335042972599026,"ZIC2"
"67","ENSAMXG00000002323",1570.08703698036,-0.418394223182987,0.100793303483626,-4.15101210817001,3.31008251982336e-05,0.000564869117701291,"zic5"
"68","ENSAMXG00000002330",420.823125384902,-0.56588545801549,0.120357836551913,-4.70169184016041,2.58014693200898e-06,6.03653623214096e-05,"slc6a22.1"
"69","ENSAMXG00000002366",326.186459110898,-0.57912667366995,0.210139224615743,-2.75591896148342,0.00585274957269082,0.0367714884201829,"USP53"
"70","ENSAMXG00000002370",130.483784064911,-0.903337109364661,0.258334069637572,-3.49677884388997,0.000470912053968153,0.00505409450116172,"cry-dash"
"71","ENSAMXG00000002390",274.384425572949,-0.450661713979896,0.12998824305161,-3.46694211261066,0.000526415244363261,0.00549509379227984,"acaa1"
"72","ENSAMXG00000002401",1104.7325264166,-0.56125662389749,0.140767784836225,-3.98710986715092,6.68830582768676e-05,0.00100986795913092,"otofa"
"73","ENSAMXG00000002428",166.62126405447,-1.11885681129075,0.238705323485825,-4.68718834985344,2.76984031850387e-06,6.42656588421887e-05,"KCNIP4"
"74","ENSAMXG00000002458",8136.19632087141,-0.601773617182694,0.078899794055524,-7.62706195100089,2.40164197198123e-14,2.9406966481741e-12,"abat"
"75","ENSAMXG00000002501",1230.12480471289,-0.717549681811368,0.108312082234234,-6.62483507850586,3.47636085051131e-11,2.69981265126515e-09,"usp7"
"76","ENSAMXG00000002544",29.9165306630645,-1.40536061900754,0.443617430575367,-3.1679562662468,0.0015351461179331,0.0129929748377032,"plin2"
"77","ENSAMXG00000002554",443.357811698108,-0.526283371012473,0.125371401877846,-4.19779441826177,2.69527133368471e-05,0.000473932668999592,"clec16a"
"78","ENSAMXG00000002644",550.9542027596,-0.67388689913931,0.126369076662555,-5.33268832009274,9.67693273397759e-08,3.43193544635252e-06,"C17orf75"
"79","ENSAMXG00000002785",6989.51657536983,-0.191976900846199,0.0659963045394785,-2.90890379674759,0.00362698451083959,0.0258136042296708,"mdh1aa"
"80","ENSAMXG00000002830",79.4716388300183,-1.20763030892757,0.238304967558342,-5.06758344696243,4.02897893908236e-07,1.20905405551174e-05,"mlh3"
"82","ENSAMXG00000002881",381.573284920168,-0.532922749412921,0.112137508082353,-4.75240406645694,2.01012151865088e-06,4.83091525435079e-05,"jph2"
"83","ENSAMXG00000002937",3967.81327128375,-0.439492148197157,0.0684050449410208,-6.42484992994434,1.31999674873971e-10,9.11232323461262e-09,"ctnnb2"
"85","ENSAMXG00000003013",1162.81834711766,-0.59657467872568,0.0955379262047545,-6.24437542685526,4.25496884613583e-10,2.57679070014182e-08,"si:dkeyp-44a8.2"
"86","ENSAMXG00000003027",10587.9804506728,-0.355909531768489,0.0872462768519154,-4.07936641666189,4.51586102621303e-05,0.00073324939834862,"hspa8"
"87","ENSAMXG00000003086",55.4214521645161,-1.71946410167666,0.609011091621862,-2.82337074863044,0.00475215827711249,0.0315755291398235,"itga6l"
"88","ENSAMXG00000003101",2184.40209076395,-0.326850666815579,0.10638257729015,-3.0724078617133,0.00212339374747815,0.01688948796299,"srsf6a"
"89","ENSAMXG00000003130",160.95882628119,-0.700084440196599,0.201221934678085,-3.47916563528024,0.000502977602172906,0.00531995540759804,"acot8"
"90","ENSAMXG00000003140",10.4584131988934,-3.23506740705547,0.965625050411607,-3.35023144405428,0.000807440636288612,0.00773105974528622,"rbbp8l"
"91","ENSAMXG00000003152",299.309135028628,-0.550069132251228,0.179440663371862,-3.06546532940139,0.0021733157337979,0.0171968733181414,"arih1l"
"92","ENSAMXG00000003161",367.148779949486,-0.402415131488631,0.117240445180572,-3.43239170466163,0.000598282767215583,0.00608048294048295,"acad8"
"93","ENSAMXG00000003164",588.168883586096,-0.500720883475881,0.139012541796041,-3.60198351175061,0.000315798398671551,0.00364340999842866,"ablim1a"
"94","ENSAMXG00000003190",215.165583893438,-0.466494815188987,0.165723143946388,-2.81490444895192,0.00487917386453496,0.0321351164419215,"capn5b"
"95","ENSAMXG00000003253",66.5394913046395,-1.21046285608194,0.303083401481069,-3.99382760707715,6.50151422329055e-05,0.000987888596881331,"myo7ab"
"96","ENSAMXG00000003256",5772.63012761123,-0.346758086722328,0.0722398584567008,-4.80009366200749,1.58591442428078e-06,3.98856288865218e-05,"fez1"
"97","ENSAMXG00000003281",240.182750656607,-0.439875140117949,0.166441876979347,-2.642815306466,0.00822198712787585,0.0478072215147721,"arih1"
"98","ENSAMXG00000003343",1021.7392266459,-0.656030314776491,0.179613204120803,-3.6524615102087,0.000259738537309324,0.00310335752376347,"mast1a"
"99","ENSAMXG00000003366",307.807515389948,-0.408687058906993,0.132678830749209,-3.08027329302817,0.00206810731998061,0.016535986793458,"nadk2"
"100","ENSAMXG00000003376",470.623948688696,-0.456151782890702,0.115261133778267,-3.95755071929294,7.57222124624164e-05,0.00111718567639141,"smyd4"
"101","ENSAMXG00000003421",723.0761021766,-0.355652073810844,0.133903486550272,-2.65603296055566,0.00790658860500886,0.0464238795411353,"slc49a4"
"102","ENSAMXG00000003456",11.0788701165461,-1.88177743010875,0.638348365797723,-2.94788477723625,0.00319956295878125,0.0233664208243602,"mfsd4aa"
"103","ENSAMXG00000003488",238.455199671727,-0.587183355833815,0.164327472389519,-3.57325130908097,0.000352576088404655,0.00399086631780573,"abcb10"
"104","ENSAMXG00000003513",30.1538042709837,-3.63031746269135,0.570280006548041,-6.36585084696552,1.9421009091943e-10,1.27759775496997e-08,"chrnb1"
"105","ENSAMXG00000003543",201.935041927198,-1.47926298572972,0.193006634139305,-7.66431160424283,1.79792904923114e-14,2.267688706831e-12,"hsdl2"
"106","ENSAMXG00000003546",545.893604281736,-0.514549427896639,0.138833808375714,-3.70622569471087,0.000210370848352865,0.00260825645315544,"si:ch211-216l23.2"
"107","ENSAMXG00000003562",201.726201344185,-0.65729862680139,0.193245014232702,-3.40137430924807,0.000670479532610589,0.00666926121682133,"rad23aa"
"108","ENSAMXG00000003645",5460.93110714882,-0.338879680804271,0.083071814327841,-4.07935812581256,4.51602207192644e-05,0.00073324939834862,"pygmb"
"109","ENSAMXG00000003656",120.043968107879,-2.46796377468227,0.351541979467967,-7.02039562506118,2.21240883918727e-12,2.07336079761824e-10,"cetp"
"110","ENSAMXG00000003658",50.8565225192173,-2.78252337105773,0.517183151842555,-5.38015084432759,7.44234514120865e-08,2.6964436229757e-06,"slc12a3"
"111","ENSAMXG00000003662",2369.23151989324,-0.56455143305015,0.195147826352806,-2.89294246111408,0.00381651206418201,0.0267323518491963,"per3"
"112","ENSAMXG00000003669",165.522551840948,-0.639266000673357,0.220751896071524,-2.89585734958415,0.00378124241877612,0.0265843845662068,"nup93"
"113","ENSAMXG00000003696",1813.32560131432,-0.559405118159235,0.124617136948352,-4.48899029345442,7.15615576495438e-06,0.000148203102416185,"si:dkey-172j4.3"
"114","ENSAMXG00000003702",1430.81292479708,-0.399171472547184,0.149280284959405,-2.67397314156878,0.00749584545803211,0.0447111428188455,"zgc:91860"
"115","ENSAMXG00000003705",503.880576893276,-0.484342203160493,0.175735232179692,-2.75609049564543,0.00584968100756782,0.0367659793562945,"si:ch211-200p22.4"
"116","ENSAMXG00000003729",941.266562204874,-0.274830298937588,0.103818113702097,-2.64722878443165,0.00811544281143475,0.0473024854627582,"zc3h18"
"117","ENSAMXG00000003736",176.049273104457,-0.731868584449946,0.164600693813608,-4.44632745763942,8.73507651084307e-06,0.000175486117927416,"tango6"
"118","ENSAMXG00000003799",349.728494316076,-0.526828229536626,0.187985920335497,-2.8024877001235,0.00507101500431924,0.0330482815452429,"pax7a"
"119","ENSAMXG00000003846",1321.16519769948,-0.422236979074569,0.1060761486205,-3.98050819685366,6.87680933380083e-05,0.00103275269986132,"fkbp4"
"120","ENSAMXG00000003932",262.237898031064,-1.2189631242558,0.219448854894801,-5.55465702858255,2.78157363896784e-08,1.11097375699251e-06,"dse"
"121","ENSAMXG00000003977",191.275789753513,-0.472049208202335,0.17051947889284,-2.76830079042751,0.00563494226127503,0.0357647205572791,"SLC16A2"
"122","ENSAMXG00000004011",1186.60351999837,-0.229597242433194,0.0814031675462745,-2.82049518899466,0.00479495924842,0.031767551892672,"srp72"
"123","ENSAMXG00000004054",323.023263008107,-0.586762691346467,0.150207557112007,-3.906346009668,9.37023106089194e-05,0.00134003091258706,"il17rd"
"124","ENSAMXG00000004071",80.0874666044477,-0.882482211298195,0.237851855830885,-3.71021789262661,0.00020708093938983,0.00257699017675401,"cox18"
"125","ENSAMXG00000004103",901.911411404153,-0.517161340671849,0.126885977641032,-4.07579584668473,4.58572385362686e-05,0.00074180827043964,"GRM7"
"126","ENSAMXG00000004104",618.167083778329,-0.549288804334161,0.109257775511771,-5.02745732979877,4.97026034926562e-07,1.46017718667129e-05,"flot2b"
"127","ENSAMXG00000004173",843.239616535673,-1.26840711324589,0.377546197960372,-3.35960769860281,0.000780532217358702,0.00752928576549294,"olfm2b"
"129","ENSAMXG00000004205",183.870652392641,-0.623396601452741,0.220204314862411,-2.83099176254678,0.00464039161278321,0.031000624971899,"abcg5"
"130","ENSAMXG00000004213",65.75135073259,-1.33275682759386,0.316652426594799,-4.20889503966857,2.56622554094109e-05,0.000454576910763325,"c1qc"
"131","ENSAMXG00000004229",325.01391166516,-0.518490963995024,0.17129672093462,-3.02685866469632,0.00247109469104272,0.0190586728470076,"gdpd1"
"132","ENSAMXG00000004239",179.707086203225,-1.19131874350439,0.202066891152812,-5.89566522604372,3.73174882567991e-09,1.79885306180404e-07,"abcg8"
"133","ENSAMXG00000004281",413.895609034866,-0.567442927661849,0.133804524601881,-4.24083512385105,2.22689675995434e-05,0.000400387922274749,"SLC29A4"
"134","ENSAMXG00000004292",308.386922129754,-0.423077885052874,0.158687667795858,-2.66610437300734,0.0076735865289835,0.0454054370453962,"pde3a"
"135","ENSAMXG00000004306",1043.09113203361,-0.297692141375684,0.0977397520918051,-3.0457632130688,0.00232090534558057,0.018159135807889,"slco1c1"
"136","ENSAMXG00000004315",724.772330669947,-0.658831473536514,0.141395589896852,-4.65949096444329,3.16992309828007e-06,7.22492662685438e-05,"epas1b"
"137","ENSAMXG00000004345",159.467236638348,-0.585250421922346,0.170849625547395,-3.42552943881046,0.000613602434082459,0.00620444896427561,"ntm"
"139","ENSAMXG00000004503",191.03978327662,-0.493014400837918,0.163470411745256,-3.01592438395646,0.00256197141666299,0.0196063277894715,"cacnb3b"
"141","ENSAMXG00000004590",411.699884465907,-0.380622715367916,0.137219566845177,-2.77382245199307,0.00554019054289147,0.0353462486067461,"ampd2a"
"142","ENSAMXG00000004611",1140.85265463082,-0.383749252150938,0.0917419271087551,-4.18292120347575,2.87787159012564e-05,0.000501832597966295,"papolg"
"144","ENSAMXG00000004630",484.352561379983,-0.317377236921013,0.116634497676363,-2.72112662414571,0.00650598352090479,0.0400505958030011,"rab6ba"
"145","ENSAMXG00000004659",97.5620338081315,-0.758242431710798,0.233457037631029,-3.24788851689781,0.00116264814736422,0.0103521351762392,"pdlim1"
