,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSAMXG00000040621,65.99155702,1.312931142,0.260818584,5.033886469,4.80634389294157e-07,1.31464874474635e-05
ENSAMXG00000040656,129.9695729,1.304541349,0.197100188,6.618671274,3.62441811880907e-11,2.17815837269074e-09
ENSAMXG00000040662,628.5546007,1.940042501,0.674736391,2.875259918,0.00403695,0.026785732
ENSAMXG00000040690,185.0361304,1.221068384,0.255163166,4.785441421,1.70611943072962e-06,3.95117465401154e-05
ENSAMXG00000040783,614.4690886,1.122818025,0.099794061,11.25135117,2.28071153177231e-29,7.80422250065844e-27
ENSAMXG00000040879,34.46368367,6.341614037,0.770163686,8.234111979,1.80894425771101e-16,2.31531056252217e-14
ENSAMXG00000040917,22.91457652,2.205772424,0.422351019,5.22260472,1.76423725817455e-07,5.44769173256218e-06
ENSAMXG00000041042,267.5007922,2.010903942,0.594666585,3.381565391,0.000720741,0.006862385
ENSAMXG00000041045,761.4065192,1.323092505,0.333378642,3.968738063,7.22542509695879e-05,0.001023215
ENSAMXG00000041163,20.68581706,5.070007595,0.724929949,6.993789676,2.67558577505148e-12,1.95901950612612e-10
ENSAMXG00000041397,12.23663172,3.137357885,0.623069134,5.035328686,4.77029587877536e-07,1.30692076796448e-05
ENSAMXG00000041410,58.9762907,6.350001569,0.607964669,10.44468846,1.54963338092427e-25,4.25945949146841e-23
ENSAMXG00000041417,77.14294032,2.081506847,0.720126092,2.890475528,0.003846595,0.025788027
ENSAMXG00000041668,3.07118368,3.687805911,1.241835765,2.969640605,0.002981483,0.020986789
ENSAMXG00000041795,6.309675725,2.610949282,0.979290522,2.666164149,0.007672222,0.043554831
ENSAMXG00000041797,5.441089572,2.322536589,0.887265824,2.617633326,0.008854189,0.048786786
ENSAMXG00000041862,171.9700178,1.272571094,0.165437593,7.6921519,1.44680700324796e-14,1.45261155829093e-12
ENSAMXG00000041997,32.41629328,1.410541887,0.419574696,3.361837356,0.000774257,0.007285056
ENSAMXG00000042104,3.974578674,2.815630176,1.010351554,2.786782646,0.005323417,0.032936434
ENSAMXG00000042253,98.72742629,1.068377495,0.191236275,5.586688496,2.31440320282483e-08,8.399480195187e-07
ENSAMXG00000042377,37.71930147,1.284209606,0.319350289,4.021319689,5.78729989999539e-05,0.000847473
ENSAMXG00000042378,52.22890978,1.145233651,0.276528577,4.141465822,3.45093301190444e-05,0.000545351
ENSAMXG00000042400,19.38169936,2.692029996,0.764273574,3.522338189,0.000427758,0.004516511
ENSAMXG00000042445,13.22057134,2.043155479,0.765689089,2.668387873,0.007621621,0.043363327
ENSAMXG00000042503,13.60932816,1.77605235,0.515559724,3.444901274,0.000571268,0.005661023
ENSAMXG00000042699,7.767491228,2.300778863,0.797223698,2.88598905,0.003901857,0.026106322
ENSAMXG00000042706,65.64254271,1.225332659,0.388777,3.151762218,0.001622884,0.013145358
ENSAMXG00000042710,53.80980188,2.05978116,0.271451631,7.588022783,3.24823811527318e-14,3.0927063661026e-12
ENSAMXG00000042725,391.8583527,1.077352855,0.158030709,6.817363949,9.27261464464524e-12,6.02612130801422e-10
ENSAMXG00000042852,4.840694186,4.394419928,1.288802135,3.409693241,0.00065036,0.00633619
ENSAMXG00000042885,21.55779915,3.67696167,0.908856245,4.045702158,5.21665249548487e-05,0.000773365
ENSAMXG00000042913,31.93108705,1.123387918,0.320902907,3.500709695,0.000464021,0.004832184
ENSAMXG00000042971,2.101460808,3.915937373,1.444650138,2.71064756,0.006715196,0.039368424
ENSAMXG00000043029,20.42150582,1.185853208,0.364283773,3.255300664,0.001132724,0.009845713
ENSAMXG00000043041,76.85072343,1.083817107,0.339755109,3.189995025,0.001422752,0.01178621
ENSAMXG00000043063,19.46271263,1.894931363,0.428460723,4.422648937,9.74980945144151e-06,0.000181035
